	order_in_text	sentences	tf_idf
175	176	киселе	3.0056094453602804
155	156	Ступай	3.0056094453602804
754	755	юноше	3.0056094453602804
747	748	Через жандармов	3.0056094453602804
742	743	Он мне приятель по клубу	3.0056094453602804
151	152	Ананасные	3.0056094453602804
673	674	Это будет месть	3.0056094453602804
281	282	посыльный — И что же	3.0056094453602804
52	53	— Ты всегда придумаешь	3.0056094453602804
140	141	Ты не тревожься	3.0056094453602804
641	642	Ничуть	3.0056094453602804
639	640	размазня	3.0056094453602804
631	632	» Такой олух	3.0056094453602804
613	614	Да не осилил	3.0056094453602804
612	613	Но какой-то идиот вздумал его удерживать и отталкивать	3.0056094453602804
580	581	какая-то кислота	3.0056094453602804
564	565	А где же любовь-то	3.0056094453602804
84	85	Хорошо, Сеид-оглы	3.0056094453602804
91	92	А какие мхи	3.0056094453602804
92	93	А мухоморы	3.0056094453602804
505	506	— Зачем клеветать	3.0056094453602804
394	395	А вот постригся в монахи	3.0056094453602804
454	455	— Но и мной тоже не брезговали	3.0056094453602804
442	443	Так-то	3.0056094453602804
438	439	Это или псих, или хвастун	3.0056094453602804
758	759	Предоставь мне с ним поговорить	3.0056094453602804
108	109	— В одной антикварной лавочке	3.0056094453602804
172	173	докторишки разнесчастные	3.0056094453602804
842	843	Заключить меня в тюрьму	3.0056094453602804
899	900	— ошибка	3.0056094453602804
970	971	van Beethoven	3.0056094453602804
182	183	Как прыгаете	3.0056094453602804
163	164	архиерея	3.0056094453602804
181	182	с вами увидеться	3.0056094453602804
177	178	И не выпускали	3.0056094453602804
906	907	Кончено	3.0056094453602804
971	972	Son	3.0056094453602804
202	203	после лиманного режима	3.0056094453602804
193	194	будешь такая же стрекоза-егоза	3.0056094453602804
184	185	совсем леди	3.0056094453602804
203	204	аппетит, как у выпускного	3.0056094453602804
232	233	Кем посажен	3.0056094453602804
824	825	Вы меня выслушаете	3.0056094453602804
729	730	— Ге Эс Же — Вот и прекрасно	3.00560944536028
529	530	Мотовка, актриса, неряха, жадная	2.930351946444285
561	562	нечто вроде иллюзии бессмертия	2.930351946444285
9	10	На обсохших сжатых полях, на их колючей желтой щетине заблестела слюдяным блеском осенняя паутина	2.9075020593559513
73	74	Это там, за лесничеством, выше водопада	2.9052661134722864
542	543	Вьючный верблюд, позорный потатчик, укрыватель, дойная корова, ширма, какая-то домашняя необходимая вещь	2.8599676279668294
967	968	» — он даже нарочно записал мне это	2.85509444752829
110	111	Вот я и набрела на этот молитвенник	2.85509444752829
986	987	Но я не причиню тебе горя	2.85509444752829
375	376	Подписываюсь только начальными буквами: П	2.85509444752829
415	416	Отпуск кончился	2.85509444752829
266	267	Оказалось — тринадцать	2.85509444752829
838	839	предположим, что вам это неприятно	2.85509444752829
138	139	— неизбежный ростбиф	2.85509444752829
586	587	Костлявая, рыжая, длинная, худущая, ротастая	2.849979195283552
669	670	Они будут одеваться, как индийские идолы	2.8465690271203927
150	151	— Сейчас болгарин принес две дыни	2.8465690271203927
237	238	Случалось, что какой-нибудь заблудший подпоручик, присланный для долговременной отсидки из такого захолустья, где даже не имелось собственной гауптвахты, признавался, что он, по безденежью, довольствуется из солдатского котла	2.8397836632493214
323	324	Васючок пел вполголоса, под аккомпанемент Женни Рейтер, итальянские народные канцонетты и рубинштейновские восточные песни	2.8257459043523423
152	153	На манер, вроде как канталупы, но только запах куда ароматнее	2.824991447961892
122	123	Черные обильные гроздья, издававшие слабый запах клубники, тяжело свисали между темной, кое-где озолоченной солнцем зеленью	2.8084364108300504
648	649	И он ухаживал за этим трусом и лодырем Вишняковым, за этим трутнем безмедовым, — как нянька, как мать	2.8053519464442855
775	776	Два круглых окна, совсем похожих на пароходные иллюминаторы, еле-еле ее освещали	2.7945921232574715
